code,name
9301.T,三菱倉庫株式会社
7337.T,株式会社ひろぎんホールディングス
1980.T,ダイダン株式会社
9364.T,株式会社上組
3397.T,株式会社トリドールホールディングス
1414.T,ショーボンドホールディングス株式会社
3941.T,レンゴー株式会社
7599.T,株式会社ＩＤＯＭ
8343.T,株式会社秋田銀行
8020.T,兼松株式会社
9048.T,名古屋鉄道株式会社
4626.T,太陽ホールディングス株式会社
6961.T,株式会社エンプラス
8876.T,株式会社リログループ
8410.T,株式会社セブン銀行
4118.T,株式会社カネカ
247A.T,Ａｉロボティクス株式会社
8628.T,松井証券株式会社
4202.T,株式会社ダイセル
8338.T,株式会社筑波銀行
3387.T,株式会社クリエイト・レストランツ・ホールディングス
6632.T,株式会社ＪＶＣケンウッド
1719.T,株式会社安藤・間
219A.T,Ｈｅａｒｔｓｅｅｄ株式会社
6356.T,日本ギア工業株式会社
6524.T,湖北工業株式会社
6849.T,日本光電工業株式会社
2531.T,宝ホールディングス株式会社
6946.T,日本アビオニクス株式会社
6191.T,株式会社エアトリ
3687.T,株式会社フィックスターズ
5832.T,株式会社ちゅうぎんフィナンシャルグループ
8111.T,株式会社ゴールドウイン
3116.T,トヨタ紡織株式会社
3445.T,株式会社ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
1407.T,株式会社ウエストホールディングス
2726.T,株式会社パルグループホールディングス
4413.T,株式会社ボードルア
5463.T,丸一鋼管株式会社
6862.T,ミナトホールディングス株式会社
4023.T,株式会社クレハ
4816.T,東映アニメーション株式会社
8117.T,中央自動車工業株式会社
2607.T,不二製油株式会社
1860.T,戸田建設株式会社
4967.T,小林製薬株式会社
5715.T,古河機械金属株式会社
9418.T,株式会社Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ
6366.T,千代田化工建設株式会社
6055.T,ジャパンマテリアル株式会社
4401.T,株式会社ＡＤＥＫＡ
3107.T,ダイワボウホールディングス株式会社
6480.T,日本トムソン株式会社
2433.T,株式会社博報堂ＤＹホールディングス
4272.T,日本化薬株式会社
2146.T,ＵＴグループ株式会社
4475.T,ＨＥＮＮＧＥ株式会社
2767.T,円谷フィールズホールディングス株式会社
9044.T,株式会社ＮＡＮＫＡＩ
6005.T,三浦工業株式会社
4107.T,伊勢化学工業株式会社
3291.T,飯田グループホールディングス株式会社
7777.T,株式会社スリー・ディー・マトリックス
8086.T,ニプロ株式会社
1861.T,株式会社　熊谷組
9505.T,北陸電力株式会社
8012.T,長瀬産業株式会社
9166.T,株式会社ＧＥＮＤＡ
6136.T,オーエスジー株式会社
7380.T,株式会社十六フィナンシャルグループ
4784.T,ＧＭＯインターネット株式会社
1951.T,エクシオグループ株式会社
2810.T,ハウス食品グループ本社株式会社
5707.T,東邦亜鉛株式会社
2327.T,日鉄ソリューションズ株式会社
7240.T,ＮＯＫ株式会社
6472.T,ＮＴＮ株式会社
6387.T,サムコ　株式会社
6523.T,ＰＨＣホールディングス株式会社
2175.T,株式会社エス・エム・エス
7685.T,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
4259.T,株式会社エクサウィザーズ
7004.T,カナデビア株式会社
6264.T,株式会社マルマエ
1961.T,三機工業株式会社
9449.T,ＧＭＯインターネットグループ株式会社
2157.T,株式会社コシダカホールディングス
8698.T,マネックスグループ株式会社
6707.T,サンケン電気株式会社
6058.T,株式会社ベクトル
9006.T,京浜急行電鉄株式会社
3401.T,帝人株式会社
4483.T,株式会社ＪＭＤＣ
4887.T,サワイグループホールディングス株式会社
8242.T,エイチ・ツー・オー　リテイリング株式会社
2354.T,株式会社ＹＥ　ＤＩＧＩＴＡＬ
3549.T,株式会社クスリのアオキホールディングス
5947.T,リンナイ株式会社
6999.T,ＫＯＡ株式会社
9533.T,東邦瓦斯株式会社
456A.T,ＨＵＭＡＮ　ＭＡＤＥ株式会社
5384.T,株式会社フジミインコーポレーテッド
8570.T,イオンフィナンシャルサービス株式会社
9722.T,藤田観光株式会社
6730.T,株式会社アクセル
4075.T,ブレインズテクノロジー株式会社
7906.T,ヨネックス株式会社
6258.T,平田機工株式会社
9076.T,セイノーホールディングス株式会社
9072.T,ニッコンホールディングス株式会社
8360.T,株式会社　山梨中央銀行
3964.T,株式会社オークネット
5232.T,住友大阪セメント株式会社
6544.T,ジャパンエレベーターサービスホールディングス株式会社
4206.T,アイカ工業株式会社
2784.T,アルフレッサホールディングス株式会社
3993.T,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ
2685.T,株式会社アンドエスティＨＤ
7456.T,松田産業株式会社
8022.T,美津濃株式会社
8995.T,株式会社誠建設工業
6457.T,グローリー株式会社
9003.T,相鉄ホールディングス株式会社
6436.T,アマノ株式会社
1885.T,東亜建設工業株式会社
8345.T,株式会社岩手銀行
8078.T,阪和興業株式会社
3543.T,株式会社コメダホールディングス
4592.T,サンバイオ株式会社
1979.T,株式会社大気社
7322.T,株式会社三十三フィナンシャルグループ
8381.T,株式会社山陰合同銀行
2585.T,株式会社ライフドリンク　カンパニー
3765.T,ガンホー・オンライン・エンターテイメント株式会社
6498.T,株式会社キッツ
6490.T,株式会社ＰＩＬＬＡＲ
2371.T,株式会社カカクコム
7616.T,株式会社　コロワイド
5243.T,ｎｏｔｅ株式会社
7630.T,株式会社壱番屋
8346.T,株式会社東邦銀行
3097.T,株式会社物語コーポレーション
9045.T,京阪ホールディングス株式会社
9987.T,株式会社スズケン
7846.T,株式会社パイロットコーポレーション
2695.T,くら寿司株式会社
3989.T,シェアリングテクノロジー株式会社
7350.T,株式会社おきなわフィナンシャルグループ
7717.T,株式会社ブイ・テクノロジー
2811.T,カゴメ株式会社
5131.T,リンカーズ株式会社
8273.T,株式会社イズミ
3891.T,ニッポン高度紙工業株式会社
2206.T,江崎グリコ株式会社
7164.T,全国保証株式会社
8344.T,株式会社山形銀行
4587.T,ペプチドリーム株式会社
7716.T,株式会社ナカニシ
8367.T,株式会社南都銀行
7984.T,コクヨ株式会社
4970.T,東洋合成工業株式会社
3664.T,株式会社ＷＩＺＥ
7148.T,株式会社ＦＰＧ
8522.T,株式会社　名古屋銀行
3101.T,東洋紡株式会社
3444.T,株式会社菊池製作所
8386.T,株式会社百十四銀行
8362.T,株式会社福井銀行
4776.T,サイボウズ株式会社
8714.T,株式会社池田泉州ホールディングス
4681.T,リゾートトラスト株式会社
2201.T,森永製菓株式会社
9519.T,株式会社レノバ
8616.T,東海東京フィナンシャル・ホールディングス株式会社
8387.T,株式会社四国銀行
7419.T,株式会社ノジマ
1833.T,株式会社奥村組
9936.T,株式会社王将フードサービス
9302.T,三井倉庫ホールディングス株式会社
9069.T,センコーグループホールディングス株式会社
6768.T,株式会社タムラ製作所
4544.T,Ｈ．Ｕ．グループホールディングス株式会社
4471.T,三洋化成工業株式会社
1518.T,三井松島ホールディングス株式会社
8424.T,芙蓉総合リース株式会社
6235.T,株式会社オプトラン
8173.T,株式会社Ｊｏｓｈｉｎ
6266.T,タツモ株式会社
3315.T,日本コークス工業株式会社
547A.T,ムニノバホールディングス株式会社
2962.T,株式会社テクニスコ
9627.T,株式会社アインホールディングス
8392.T,株式会社大分銀行
8544.T,株式会社　京葉銀行
4480.T,株式会社メドレー
3612.T,株式会社ワールド
3863.T,日本製紙株式会社
8425.T,みずほリース株式会社
1417.T,株式会社ミライト・ワン
2229.T,カルビー株式会社
8919.T,株式会社カチタス
8370.T,株式会社紀陽銀行
8393.T,株式会社宮崎銀行
6143.T,株式会社ソディック
4927.T,株式会社ポーラ・オルビスホールディングス
8174.T,日本瓦斯株式会社
9031.T,西日本鉄道株式会社
9842.T,アークランズ株式会社
6810.T,マクセル株式会社
2292.T,エスフーズ株式会社
4078.T,堺化学工業株式会社
1820.T,西松建設株式会社
6327.T,北川精機株式会社
9759.T,株式会社ＮＳＤ
5724.T,株式会社アサカ理研
8336.T,株式会社武蔵野銀行
2805.T,ヱスビー食品株式会社
3002.T,グンゼ株式会社
5703.T,日本軽金属ホールディングス株式会社
9934.T,因幡電機産業株式会社
4092.T,日本化学工業株式会社
5074.T,テスホールディングス株式会社
402A.T,株式会社アクセルスペースホールディングス
8153.T,株式会社モスフードサービス
6196.T,株式会社ストライクグループ
6958.T,日本シイエムケイ株式会社
8595.T,ジャフコ　グループ株式会社
9279.T,株式会社ギフトホールディングス
6104.T,芝浦機械株式会社
8609.T,株式会社岡三証券グループ
7611.T,株式会社ハイデイ日高
6208.T,株式会社石川製作所
7552.T,株式会社ハピネット
5331.T,ノリタケ株式会社
4432.T,ウイングアーク１ｓｔ株式会社
462A.T,株式会社ＦＵＮＤＩＮＮＯ
5310.T,東洋炭素株式会社
4046.T,株式会社大阪ソーダ
7803.T,株式会社ブシロード
8016.T,株式会社オンワードホールディングス
3360.T,シップヘルスケアホールディングス株式会社
4634.T,ａｒｔｉｅｎｃｅ株式会社
8550.T,株式会社　栃木銀行
9409.T,株式会社テレビ朝日ホールディングス
8194.T,株式会社ライフコーポレーション
5574.T,株式会社ＡＢＥＪＡ
7744.T,ノーリツ鋼機株式会社
4919.T,株式会社ミルボン
5423.T,東京製鐵株式会社
2980.T,ＳＲＥホールディングス株式会社
6379.T,レイズネクスト株式会社
6804.T,ホシデン株式会社
6013.T,株式会社タクマ
4975.T,株式会社ＪＣＵ
7184.T,株式会社　富山第一銀行
3660.T,株式会社アイスタイル
3433.T,トーカロ株式会社
9130.T,共栄タンカー株式会社
9956.T,株式会社バローホールディングス
5541.T,大平洋金属株式会社
1882.T,東亜道路工業株式会社
2730.T,株式会社エディオン
256A.T,飛島ホールディングス株式会社
6140.T,旭ダイヤモンド工業株式会社
3156.T,株式会社レスター
7740.T,株式会社タムロン
6807.T,日本航空電子工業株式会社
7458.T,株式会社第一興商
325A.T,株式会社ＴＥＮＴＩＡＬ
7313.T,テイ・エス　テック株式会社
4849.T,エン株式会社
6412.T,株式会社平和
2334.T,株式会社イオレ
2296.T,伊藤ハム米久ホールディングス株式会社
6617.T,株式会社東光高岳
9436.T,沖縄セルラー電話株式会社
4819.T,株式会社デジタルガレージ
6250.T,株式会社やまびこ
4170.T,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ
2326.T,デジタルアーツ株式会社
1333.T,Ｕｍｉｏｓ株式会社
8707.T,岩井コスモホールディングス株式会社
2379.T,ディップ株式会社
4419.T,株式会社Ｆｉｎａｔｅｘｔホールディングス
8572.T,アコム株式会社
3465.T,ケイアイスター不動産株式会社
6800.T,株式会社ヨコオ
4028.T,石原産業株式会社
4617.T,中国塗料株式会社
