code,name
2607.T,不二製油株式会社
2809.T,キユーピー株式会社
4092.T,日本化学工業株式会社
1719.T,株式会社安藤・間
4206.T,アイカ工業株式会社
3993.T,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ
8012.T,長瀬産業株式会社
2670.T,株式会社エービーシー・マート
6472.T,ＮＴＮ株式会社
6258.T,平田機工株式会社
7459.T,株式会社メディパルホールディングス
7988.T,株式会社ニフコ
2222.T,寿スピリッツ株式会社
6849.T,日本光電工業株式会社
2354.T,株式会社ＹＥ　ＤＩＧＩＴＡＬ
3397.T,株式会社トリドールホールディングス
6136.T,オーエスジー株式会社
8111.T,株式会社ゴールドウイン
5947.T,リンナイ株式会社
8020.T,兼松株式会社
8242.T,エイチ・ツー・オー　リテイリング株式会社
5463.T,丸一鋼管株式会社
5707.T,東邦亜鉛株式会社
6232.T,株式会社ＡＣＳＬ
9076.T,セイノーホールディングス株式会社
1414.T,ショーボンドホールディングス株式会社
3097.T,株式会社物語コーポレーション
1979.T,株式会社大気社
6264.T,株式会社マルマエ
8022.T,美津濃株式会社
2784.T,アルフレッサホールディングス株式会社
4967.T,小林製薬株式会社
4023.T,株式会社クレハ
3101.T,東洋紡株式会社
2206.T,江崎グリコ株式会社
8237.T,株式会社松屋
4272.T,日本化薬株式会社
7278.T,株式会社エクセディ
7004.T,カナデビア株式会社
1407.T,株式会社ウエストホールディングス
8086.T,ニプロ株式会社
6457.T,グローリー株式会社
5331.T,ノリタケ株式会社
6946.T,日本アビオニクス株式会社
4078.T,堺化学工業株式会社
5901.T,東洋製罐グループホールディングス株式会社
4471.T,三洋化成工業株式会社
6387.T,サムコ　株式会社
4107.T,伊勢化学工業株式会社
7456.T,松田産業株式会社
4565.T,ネクセラファーマ株式会社
6237.T,株式会社イワキ
9627.T,株式会社アインホールディングス
6436.T,アマノ株式会社
5703.T,日本軽金属ホールディングス株式会社
7716.T,株式会社ナカニシ
1885.T,東亜建設工業株式会社
7740.T,株式会社タムロン
2593.T,株式会社伊藤園
2726.T,株式会社パルグループホールディングス
3107.T,ダイワボウホールディングス株式会社
6143.T,株式会社ソディック
7609.T,ダイトロン株式会社
2811.T,カゴメ株式会社
1518.T,三井松島ホールディングス株式会社
8276.T,株式会社　平和堂
7611.T,株式会社ハイデイ日高
3612.T,株式会社ワールド
2531.T,宝ホールディングス株式会社
8876.T,株式会社リログループ
2810.T,ハウス食品グループ本社株式会社
8367.T,株式会社南都銀行
6498.T,株式会社キッツ
6800.T,株式会社ヨコオ
7552.T,株式会社ハピネット
6140.T,旭ダイヤモンド工業株式会社
9842.T,アークランズ株式会社
7744.T,ノーリツ鋼機株式会社
7545.T,株式会社西松屋チェーン
2760.T,東京エレクトロンデバイス株式会社
8273.T,株式会社イズミ
4544.T,Ｈ．Ｕ．グループホールディングス株式会社
8154.T,加賀電子株式会社
3433.T,トーカロ株式会社
7240.T,ＮＯＫ株式会社
7616.T,株式会社　コロワイド
2201.T,森永製菓株式会社
4634.T,ａｒｔｉｅｎｃｅ株式会社
8078.T,阪和興業株式会社
4028.T,石原産業株式会社
9987.T,株式会社スズケン
4968.T,荒川化学工業株式会社
3002.T,グンゼ株式会社
219A.T,Ｈｅａｒｔｓｅｅｄ株式会社
6768.T,株式会社タムラ製作所
6104.T,芝浦機械株式会社
3569.T,セーレン株式会社
2292.T,エスフーズ株式会社
9519.T,株式会社レノバ
7984.T,コクヨ株式会社
3036.T,アルコニックス株式会社
6516.T,山洋電気株式会社
4617.T,中国塗料株式会社
3276.T,株式会社ＪＰＭＣ
5702.T,株式会社大紀アルミニウム工業所
2780.T,株式会社コメ兵ホールディングス
6958.T,日本シイエムケイ株式会社
6810.T,マクセル株式会社
4046.T,株式会社大阪ソーダ
5310.T,東洋炭素株式会社
1333.T,Ｕｍｉｏｓ株式会社
9934.T,因幡電機産業株式会社
4975.T,株式会社ＪＣＵ
1833.T,株式会社奥村組
6804.T,ホシデン株式会社
9682.T,株式会社ＤＴＳ
6023.T,ダイハツインフィニアース株式会社
9936.T,株式会社王将フードサービス
9880.T,イノテック株式会社
1820.T,西松建設株式会社
4889.T,株式会社レナサイエンス
5541.T,大平洋金属株式会社
7245.T,大同メタル工業株式会社
1952.T,新日本空調株式会社
3946.T,株式会社トーモク
6807.T,日本航空電子工業株式会社
4187.T,大阪有機化学工業株式会社
5208.T,株式会社有沢製作所
6412.T,株式会社平和
5602.T,株式会社栗本鐵工所
3360.T,シップヘルスケアホールディングス株式会社
6379.T,レイズネクスト株式会社
7296.T,株式会社エフ・シー・シー
402A.T,株式会社アクセルスペースホールディングス
6013.T,株式会社タクマ
8600.T,トモニホールディングス株式会社
3762.T,テクマトリックス株式会社
8129.T,東邦ホールディングス株式会社
8174.T,日本瓦斯株式会社
4220.T,リケンテクノス株式会社
3315.T,日本コークス工業株式会社
